다타, 85, 174
카자, 76, 180
하바, 80, 163
차하, 80, 146
바바, 84, 170
자라, 50, 172
다타, 84, 142
가마, 97, 161
마라, 85, 196
사카, 64, 164
파파, 75, 150
라마, 67, 171
자타, 67, 197
파카, 87, 145
파사, 46, 164
라사, 65, 189
카자, 54, 143
바파, 40, 195
아마, 96, 153
라가, 83, 166
차파, 77, 167
가타, 77, 150
다아, 92, 177
사하, 46, 159
가차, 72, 163
아가, 84, 161
마하, 69, 185
자하, 86, 159
차라, 87, 186
사파, 57, 190
마바, 47, 147
파차, 44, 181
파가, 73, 160
사바, 64, 156
자자, 83, 193
바나, 72, 151
타자, 87, 182
나카, 70, 185
자라, 68, 172
나마, 80, 160
하바, 70, 147
자카, 95, 194
타하, 59, 193
사다, 95, 159
타하, 66, 184
사라, 99, 169
자바, 67, 181
카카, 69, 152
나가, 95, 140
다하, 83, 165
사마, 90, 151
파바, 44, 154
가가, 45, 144
하다, 57, 186
가마, 52, 174
파하, 62, 176
자나, 77, 146
자아, 73, 158
마자, 82, 152
자사, 93, 198
마타, 74, 143
아파, 78, 177
타하, 68, 172
파다, 48, 165
사파, 49, 197
하나, 65, 145
가하, 81, 144
마아, 44, 175
다나, 68, 170
라아, 80, 142
자바, 69, 178
차가, 58, 181
타차, 96, 179
사마, 85, 165
아파, 86, 196
마아, 85, 158
다가, 85, 185
마마, 90, 160
아타, 85, 165
하나, 44, 183
차카, 72, 141
파다, 92, 192
마마, 43, 160
타마, 80, 170
라파, 65, 166
파카, 40, 170
아마, 86, 160
카나, 45, 175
자차, 63, 154
타바, 71, 169
카바, 67, 153
나마, 97, 167
다아, 54, 188
하사, 61, 193
라가, 67, 183
아차, 93, 193
라가, 89, 170
자아, 69, 197
차다, 52, 198
아바, 48, 174
차파, 97, 167
아하, 71, 160
차바, 46, 199
다마, 68, 181
가바, 51, 158
타차, 94, 192
마자, 60, 182
하차, 86, 155
라가, 86, 157
사타, 98, 189
바자, 48, 181
나나, 58, 155
차아, 75, 150
바나, 83, 155
파카, 81, 199
파아, 76, 162
타타, 65, 155
바하, 88, 197
타다, 66, 178
마마, 48, 176
마카, 87, 140
나차, 94, 188
자가, 72, 179
다카, 40, 157
라라, 75, 157
바아, 55, 198
아라, 50, 173
자파, 62, 160
파바, 43, 164
나사, 47, 165
사카, 99, 143
카차, 71, 168
가아, 61, 191
바카, 81, 192
자사, 86, 194
카카, 44, 154
다가, 57, 192
카사, 75, 152
파차, 46, 148
파마, 72, 152
카사, 41, 148
사가, 82, 165
가다, 75, 141
가파, 63, 175
가마, 86, 184
다바, 84, 190
가다, 69, 149
차라, 50, 150
하차, 64, 159
타아, 79, 151
마하, 43, 193
사자, 97, 198
타자, 96, 147
마다, 81, 177
다라, 46, 153
자라, 94, 147
다카, 65, 195
사마, 93, 154
가사, 81, 154
마아, 54, 141
차다, 63, 151
바카, 60, 158
자바, 60, 165
카라, 66, 146
파마, 74, 196
다바, 43, 157
사자, 56, 188
바카, 40, 155
바바, 57, 144
마마, 56, 190
바마, 49, 156
하카, 80, 155
파나, 51, 199
마타, 64, 167
바라, 56, 159
타라, 69, 174
카바, 70, 191
차다, 62, 193
마가, 71, 140
마파, 76, 195
마차, 98, 158
라아, 93, 196
하자, 58, 175
라차, 77, 176
사카, 86, 175
하바, 95, 155
라가, 64, 152
라바, 42, 152
파가, 94, 156
바나, 87, 181
타아, 47, 192
카사, 70, 169
타가, 91, 153
타파, 83, 179
파가, 84, 142
다자, 43, 173
